"iso_a0","adm_0_name","adm_1_name","adm_2_name","gaul_level","fao_gaul_code","t_res","calendar_start_date","calendar_end_date","year","dengue_total","case_definition_standardised"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-09-21,2014-09-27,2014,53,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-09-28,2014-10-04,2014,61,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-10-05,2014-10-11,2014,41,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-10-12,2014-10-18,2014,44,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-10-19,2014-10-25,2014,46,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-10-26,2014-11-01,2014,37,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-11-02,2014-11-08,2014,34,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-11-09,2014-11-15,2014,46,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-11-16,2014-11-22,2014,39,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-11-23,2014-11-29,2014,39,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-11-30,2014-12-06,2014,46,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-12-07,2014-12-13,2014,35,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-12-14,2014-12-20,2014,31,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-12-21,2014-12-27,2014,43,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2014-12-28,2015-01-03,2014,7,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-01-04,2015-01-10,2015,44,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-01-11,2015-01-17,2015,34,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-01-18,2015-01-24,2015,39,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-01-25,2015-01-31,2015,32,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-02-01,2015-02-07,2015,56,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-02-08,2015-02-14,2015,42,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-02-15,2015-02-21,2015,62,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-02-22,2015-02-28,2015,96,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-03-01,2015-03-07,2015,125,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-03-08,2015-03-14,2015,182,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-03-15,2015-03-21,2015,241,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-03-22,2015-03-28,2015,263,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-03-29,2015-04-04,2015,400,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-04-05,2015-04-11,2015,641,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-04-12,2015-04-18,2015,794,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-04-19,2015-04-25,2015,942,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-04-26,2015-05-02,2015,1185,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-05-03,2015-05-09,2015,1172,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-05-10,2015-05-16,2015,1331,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-05-17,2015-05-23,2015,1363,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-05-24,2015-05-30,2015,1062,"probable"
"BRA","brazil","rio de janeiro","rio de janeiro","adm2",9961,"week",2015-05-31,2015-06-06,2015,948,"probable"
